quote	source
I'm not unlucky at love, just incredibly lucky with celibacy.	Tim Heaton
The unrequited love of ones' only living offspring has its own particular slow acid burn	David Nicholls
Even before you touched me, I belonged to you; all you had to do was look at me.	Louise Glück
I just stood there, like a grain of sand amongst amillion others on a beach.	Jeff Erno, Dumb Jock
Eternity has a way of letting us all grow up.	Shannon L. Alder
One sided-love always goes with the urge of possessing.	Yu-Rang Han, Love in the Mask
I was Amazement--I was Desire--I was Ecstasy and Rapture and the slightest bit of Greed.	Sharon Shinn, Jenna Starborn
You should be kissed and often, by someone who knows how.	Margaret Mitchell
She tastes like every dark thought I've ever had.	Holly Black, White Cat
A kind of childlike purity to her repose that made the thought of kissing her seem vile.	Jessica Khoury
Don't kiss me if you're afraid of thunder. My life is a storm.	Anita Krizzan
The man’s tongue was like a heat-seeking missile and it blew Kory to pieces.	Gina A. Rogers, A Gay Romance
The first kiss is the deepest.""The last breath is the hardest.	Nadège Richards, 5 Miles
Oh how I had underestimated tender kisses.	Cora Carmack, Faking It
I'm kissing you because sometimes I can't not kiss you.	Colleen Hoover, Hopeless
Ooo la la! That kiss was fine, and it was full of all the words I didn't need to say.	Monica Drake, Clown Girl
I can barely breathe but I think that his lips might be better than oxygen at the moment.	Autumn Doughton, I'll Be Here
Don't you know a kiss would change the world forever?	Theric Jepson, Byuck
Is there cure of love? I Think not, but David you can tame it, I mean Yoga.Says Bhutta	M.K. Bhutta
For elves, sex was two souls finding each other in the dark.	Ash Gray, Tales of Talithia
I never stopped loving you,I continued loving you in a different way.	Maite
Time cannot be changed, but time can change you.  -YakupAdar	-YakupAdar
I had not, I said to myself, come into the future to carry on a miniature flirtation.	H.G. Wells, The Time Machine
Are you saying that we can affect what happened in the past? That we can change it?	Michelle Madow, Timeless
Because it's all about the journey...	Selena Fulton
My eyes were drawn to him as if my world was black and white and he was a rainbow.	L S May
Your window square a yellow kite, and the Moon a white balloon	John Geddes
Every single day I'll keep you with me, no matter how far from me you are.	S.C. Stephens, Reckless
Please take a long, hard look at your textbook, cause I'm history	Owl City
I don't know why you care. He doesn't even know you're there	N Sync
I'd like to add her initial to my monogram...	Ira Gershwin
love is but an echo in her head	David Cantor
wake up who cares about little boys that talk too much	Mr. Big
Ahesta boro, Mah-e-man, ahesta boro.	Khaled Hosseini
Loyalty is what you focus on and won't give up.	Shannon L. Alder
He had never looked at me before, never, and the idea made my skin burn.	Rainbow Rowell, Attachments
This is my skin. This is not your skin, yet you are still under it.	Iain Thomas
It's in giving yourself that you possess yourself	Lou Andeas-Salome
Intimacy and romance are not synonymous.	Diana Gabaldon
It's love when someone can touch you without using their hands.	Faraaz Kazi
Hearts are connected by the slenderest of threads.	Marty Rubin
If you're heartless, try not to steal someone else's	A.M.M Alusi
They stood together in a false intimacy, a nervous contact. And he was in love with her.	D.H. Lawrence, Women in Love
You are the winner and the sole owner of my heart.Love u zakiya	ZAKIYA AND MAJID
Just maybe I was worthy of love.	Abbi Glines, Bad for You
Free will...it's all the rage these days	Lauren Kate, Passion
Every difficult problem is easy if you know how to.	Debasish Mridha
You overcome a problem, not by solving it, but by becoming bigger than the problem.	Debasish Mridha
Education does not solve any problem but it gives you the ability to solve the problem.	Debasish Mridha
Be the solution, not the problem.	Debasish Mridha
Gotta love a woman that can hand you your own ass.	Penelope Douglas, Until You
What is the hardest, but best thing in life? Love <3	Ali Hassan
Be in a close association with your creator, for love will do its best	Napz Cherub Pellazo
We do the best we can at the time we can.	L.A. Banks
Beauty will never fade away from the eyes of those who love one another.	Auliq Ice
Strong nations are built on SOLID HOMES not big houses	Fela Durotoye
Sometimes family is just not what you were born into.	Chelesbells
Love heals the heart.	Lailah Gifty Akita
As long as I didn't say it aloud, it wasn't real	Sarah Dessen, Dreamland
But seventeen is an inconvenient time to be in love.	Gayle Forman, If I Stay
It is better to love truly at seventeen than pretend at thirty.	Rom Amor
You're crazy,' I say.'Aye,' Logan says. 'Crazy about you.	Cindy Miles, Forevermore
as long as I can still dream, I will dream of you.	Cassandra Clare
Awakening Call: You're Not in love if it carries a burden.	Brook Tesla
You will be an attraction for the people of this village,” Señor Castillo	Marisette Burgess
You so need a Daddy, little girl.	Breanna Hayse, The Game Plan
...You would be 'my boy', belonging to me alone, and I'd be faithful to you.""Homecoming	Keegan Kennedy
Come on, asshole,” Paul said as he stepped onto the porch. “Come make me cry— I dare ya.	Kele Moon, Finding Eden
His pleasure is my pleasure.	Pam Godwin, Dark Notes
Busy day ahead. Things to do. People to beat. A Dominatrix's work was never done.	Tiffany Reisz, The Virgin
You have no idea what you have just unleashed, boy.	S.J.D. Peterson, Pup
A mother is an unrelenting source of love.	Farshad Asl
He who loses his mother loses a pure soul who blesses and guards him constantly.	Kahlil Gibran
There is nothing as sincere as a mother's kiss.	Saleem Sharma
Be brave. Be kind. Be simple. Above all, be crazy with love.	Debasish Mridha
Dead or not, I have come for his heart and I will have it.	Holly Black, Valiant
Go for it, my heart said, my heart always said.	Kimberly Novosel, Loved
Love comes with faith.	Jayson Engay
Life wasn't all fucking sunshine and rainbows. Real life was hard.	Kendall Ryan, Hard to Love
O.K. I'm running out of appetite. Let this swirl— a bit like Crab Nebula— do for now.	Charles Olson
Never pursue happiness, just create the happiness inside you.	Debasish Mridha
Never pursue happiness, just create it inside you.	Debasish Mridha
Why are you choosing to be unhappy, when you're created for happiness?	Debasish Mridha
Act to create beauty without expecting results.	Debasish Mridha
Time flies but books are timeless...	Nanette L. Avery
Love for others what you love for yourself	Anonymous
For peace, let us teach the humanity, tolerance and nonviolence.	Debasish Mridha
For peace, let us teach humanity tolerance and nonviolence.	Debasish Mridha
Don't Wait on Someone to Love You, Love Yourself...Embrace your Worth	Travess
Living life without hardships is simply not living at all.	Chris Imholte
Never place someone so high on a pedestal that if they should fall... you get crushed.	Mark W. Boyer
Love is about filling up the space, not making more holes.	Sara San Angelo, Drift
The fact that you don’t realize how wonderful you are only makes you more wonderful.	Scott Stabile
Truth is a fact we fall in love with	Anonymous
For lack of love one does a million other things.	Marty Rubin
People who LIKE movies have a favorite. People who LOVE movies couldn't possibly choose.	Nicole Yatsonsky
I will tell you in another life when we are both cats.	Cameron Crowe
A girl is just like a movie, you want to know what happends next, and how it will end...	Omer Abazi
Am I a romantic? I've seen "Wuthering Heights" ten times. I'm a romantic.	Johnny Depp
Love is a contact sport you were born to win.	Suzette R. Hinton
To love and win is the best thing. To love and lose, the next best.	William Makepeace Thackeray
You're the fire burning inside of me.	Kelvin O'Ralph, The Beginning
Some souls are just meant to be for each other forever, and ever, and ever!	Avijeet Das
Sometimes there’s someone who makes you feel so at home that you flourish.	Marnie Woodrow
But i do believe in souls being in sync, souls that mirror each other.	Richelle Mead, Last Sacrifice
Would you die for her?I do. Every Day.	Jessica Shirvington, Emblaze
It doesn't matter how old you are, when you find your forever you just know.	Kate  Benson, The Promise
From the moment I saw you, I wanted you in my dreams	John Geddes
Love makes you stronger among the people but makes you weak against the one you love	Heenashree Khandelwal
I'm tired of praise; and love is very sweet, when it is simple and sincere like this.	Louisa May Alcott, Jo's Boys
Praise is the mode of love which always has some element of joy in it.	C.S. Lewis, A Grief Observed
Either, you are in love with someone or you're not. Fear is complicated, not love.	Shannon L. Alder
The few moments of heaven were not worth the hell he put me through when he was done.	Abbi Glines, Just for Now
...you knew I was confused, tormented, but you enticed me - led me on...	John Geddes, A Familiar Rain
Love was generous precisely because it could never be immortal.	Peter S. Beagle
You will not be here--I shall not be here--much lo	A.S. Byatt, Possession
